name,total_price,compatible_drinks,cutlery,temperature,healthLabels,dietLabels,ingredients,taste,kcal,type,style,course_type,complexity,season
Moroccan Chicken Tagine,21.0,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, egg-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[high-fiber],"['cinnamon', 'cumin', 'flour', 'garlic', 'honey', 'oil', 'onion', 'pepper', 'salt']","[salty, umami]",2289.04861359952,snack,classic,main_course,high,['spring']
"Day 4: Peppermint White Chocolate Popcorn - 4 Days, 4",28.0,"[red wine, herbal tea]",[spoon],hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[low-sodium],['salt'],[fatty],1972.6726297708524,snack,sibarita,starter,low,"['spring', 'summer', 'autumn', 'winter']"
Cheese Dosa - How To Make Cheese Dosa - How To Prepare Cheese Dosa,35.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, vegetarian, pescatarian, mediterranean, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[low-fat],"['onion', 'salt']","[sour, salty]",2960.990048000001,snack,fusion,main_course,high,"['spring', 'summer', 'autumn', 'winter']"
Buffalo Chicken Dip,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[keto-friendly, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],['cream'],"[salty, fatty]",2141.2186475080816,snack,classic,main_course,medium,['winter']
Pork Stew in Green Salsa (Guisado de Puerco con Tomatillos),21.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],"['cilantro', 'cream', 'cumin', 'flour', 'garlic', 'oil', 'onion', 'pepper', 'salt', 'water']","[salty, umami, fatty]",2674.3934883564166,snack,regional,main_course,high,['winter']
Pumpernickel Bread 1,14.0,"[red wine, white wine]","[fork, knife]",hot,"[kidney-friendly, vegetarian, pescatarian, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[balanced],"['butter', 'salt', 'water']",[fatty],687.55721923125,snack,modern,starter,medium,"['spring', 'summer', 'autumn', 'winter']"
Red Bean 'N' Sausage Soup,28.0,"[red wine, herbal tea]","[fork, knife]",hot,"[dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added]","[balanced, high-fiber]","['onion', 'pepper', 'salt', 'sugar']","[sweet, salty, fatty]",2516.3495010989777,snack,classical,starter,high,['autumn']
Ice Cream Pebbles Marshmallow Cereal Bars,31.5,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[low-sodium],['butter'],[sweet],1861.2208353749995,snack,fusion,dessert,low,['summer']
Whole Chicken And Cabbage In A Dutch Oven/Braiser,28.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, keto-friendly, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],"['butter', 'garlic', 'oil', 'pepper', 'salt']","[salty, umami, fatty]",3229.25515729,soup,classic,main_course,low,['winter']
Cheesy Shrimp Baked Spring Rolls,63.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, egg-free, tree-nut-free, fish-free, pork-free, red-meat-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free]",[low-fat],['honey'],[salty],1635.028777779749,cream,regional,main_course,medium,['autumn']
Mulligatawny Soup,28.0,"[red wine, herbal tea]","[fork, knife]",hot,"[mediterranean, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['garlic', 'lemon', 'oil']","[salty, umami, fatty]",3182.0335079510005,broth,sibarita,starter,low,['winter']
Southern Eggs and Biscuits,21.0,"[red wine, white wine]","[fork, knife]",hot,"[peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[],"['flour', 'milk', 'pepper', 'salt']","[salty, umami, fatty]",6570.574555766667,legume,fusion,dessert,medium,['autumn']
Jelly Chia Pudding,7.0,"[red wine, herbal tea]",[],warm,"[vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, kosher]","[low-carb, low-sodium]",['vanilla'],[fatty],1066.4285,pasta,classic,dessert,low,['spring']
Tortellini Alfredo Spinach Casserole,31.5,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['cheese', 'cream', 'egg', 'garlic', 'parsley', 'pepper', 'salt']","[salty, umami, fatty]",5285.390975542799,rice,regional,main_course,medium,['winter']
Rhubarb Crumble Cake,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'egg', 'salt', 'sugar', 'vanilla']","[sweet, fatty, salty]",2616.158,salad,sibarita,dessert,low,['autumn']
Flourless Hazelnut Carrot and Date Muffins,63.0,"[red wine, herbal tea]","[fork, knife]",hot,"[vegetarian, pescatarian, paleo, dairy-free, gluten-free, wheat-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['carrots', 'cinnamon', 'egg', 'leavening', 'oil']","[sweet, salty, fatty]",4313.045,vegetable,fusion,dessert,medium,['winter']
Autumn Apple Salad 4,31.5,"[red wine, herbal tea]",[fork],cold,"[kidney-friendly, gluten-free, wheat-free, egg-free, soy-free, fish-free, shellfish-free, red-meat-free, crustacean-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added]",[low-sodium],"['celery', 'cream', 'sugar']","[sweet, fatty]",2667.88670825,meat,classic,starter,low,['autumn']
Nutella Thumbprint Cookies,35.0,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'egg', 'flour', 'sugar', 'vanilla']","[sweet, fatty]",2820.9096666666665,poultry,sibarita,dessert,low,"['autumn', 'spring']"
Oatmeal Scotchies,14.0,"[red wine, white wine]",[],warm,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[high-fiber],"['butter', 'cinnamon', 'egg', 'flour', 'leavening', 'salt', 'sugar', 'vanilla']","[sweet, salty, fatty]",5458.10998960625,tapas,fusion,dessert,low,['winter']
Spicy Southwestern Slow Cooker Chili,28.0,"[red wine, herbal tea]","[fork, knife]",hot,"[paleo, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, sulfite-free, kosher]","[high-fiber, low-carb]","['cumin', 'garlic', 'onion', 'pepper']","[salty, sour, umami]",2956.57068162155,fruit,modern,main_course,medium,['winter']
"Hearty Chard, Pancetta, and Pecorino Quiche",21.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[low-carb],"['egg', 'milk', 'pepper', 'salt']","[salty, fatty]",1738.4682387067478,snack,classic,starter,high,['spring']
Fudgy S'more Brownies for Kids,42.0,"[red wine, white wine]",[],warm,"[low potassium, kidney-friendly, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[low-sodium],"['butter', 'egg', 'flour', 'salt', 'sugar', 'vanilla']","[sweet, fatty]",3142.764148720833,snack,fusion,dessert,low,"['spring', 'summer', 'autumn', 'winter']"
Peanut Butter Crusted Sweet Potato Fries,17.5,"[sparkling water, white wine]","[fork, knife]",hot,"[vegan, vegetarian, pescatarian, mediterranean, dairy-free, gluten-free, wheat-free, egg-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, fodmap-free, kosher, immuno-supportive]",[],['oil'],[sweet],820.1294382000002,snack,classical,starter,medium,['winter']
Turtle Cake,28.0,"[red wine, white wine]",[],warm,"[vegetarian, pescatarian, egg-free, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],['milk'],"[salty, fatty]",7768.700000013578,snack,sibarita,dessert,high,['autumn']
{Simple} Tuscan Oven Roasted Red Potatoes,21.0,"[sparkling water, white wine]",[spoon],hot,"[sugar-conscious, vegan, vegetarian, pescatarian, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['garlic', 'oil', 'pepper', 'salt']",[salty],939.324318,snack,regional,starter,low,['winter']
Taco Spiced Collard Chips,14.0,"[sparkling water, white wine]",[spoon],hot,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, vegan, vegetarian, pescatarian, mediterranean, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, fodmap-free, kosher, immuno-supportive]",[low-sodium],"['cumin', 'pepper', 'salt']",[neutral],34.4841512,snack,sibarita,starter,low,['autumn']
Make Your Own Roasted Peppers,14.0,"[sparkling water, white wine]","[fork, knife]",hot,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, vegan, vegetarian, pescatarian, paleo, mediterranean, dash, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher, immuno-supportive]","[balanced, low-sodium]","['garlic', 'oil', 'parsley']",[sour],101.3890224,vegetable,sibarita,main_course,low,['winter']
German Chocolate Birthday Cake 4,42.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['butter', 'egg', 'leavening', 'salt', 'sugar', 'vanilla', 'water']","[sweet, salty, fatty]",8631.80719323555,cream,regional,dessert,medium,['winter']
Turnip Gratin,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, low potassium, kidney-friendly, keto-friendly, vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[low-carb],"['butter', 'garlic', 'milk']",[sour],586.0013333333334,soup,classical,main_course,low,['winter']
Pretty Pear Pocket Pies!,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]","[high-fiber, low-sodium]","['butter', 'cinnamon', 'flour', 'milk', 'water']","[sweet, fatty]",3852.495999998836,snack,sibarita,dessert,low,['winter']
Double Chocolate Brownie Batter Ice Cream,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, kosher]",[],"['cinnamon', 'sugar', 'vanilla']",[fatty],1972.1710000000005,fish,modern,dessert,low,['summer']
Weeknight Lo Mein,14.0,"[red wine, white wine]","[fork, knife]",hot,"[dairy-free, peanut-free, tree-nut-free, fish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, lupine-free, alcohol-free, sulfite-free]","[balanced, high-fiber]","['garlic', 'oil']","[salty, fatty]",2075.4028601167665,egg,regional,main_course,medium,['autumn']
Asian Coleslaw,35.0,"[sparkling water, white wine]",[fork],cold,"[vegan, vegetarian, pescatarian, dairy-free, egg-free, tree-nut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[],"['carrots', 'cilantro', 'garlic', 'oil', 'sugar']","[sour, fatty, sweet]",1719.4386666645987,pasta,fusion,starter,medium,['winter']
Buttermilk French Toast With Homemade Cinnamon - Raisin Bread,28.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['cinnamon', 'egg', 'sugar', 'vanilla']",[sweet],862.9169999990929,rice,classic,dessert,medium,['spring']
Chocolate Mochi Mug Cake,42.0,"[red wine, herbal tea]",[],warm,"[low potassium, kidney-friendly, keto-friendly, vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['leavening', 'milk', 'oil', 'sugar']",[neutral],210.6747169987623,meat,sibarita,dessert,low,['autumn']
Slow Cook Lamb Chops,14.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[low-carb],"['carrots', 'garlic', 'onion', 'pepper', 'salt']","[salty, fatty]",2306.95701969948,poultry,classic,main_course,high,['winter']
+ Baked Eggplant Parmesan,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[high-fiber],"['egg', 'garlic', 'pepper', 'salt']",[salty],1474.07715366926,salad,regional,main_course,medium,['winter']
Tomato Olive Quiche,28.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[],"['egg', 'flour', 'oil', 'pepper', 'salt']","[salty, fatty]",3420.7698270583337,vegetable,sibarita,starter,medium,['spring']
Grilled Lobster Tail with Tropical Fruit,35.0,"[red wine, herbal tea]","[fork, knife]",hot,"[pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, fish-free, pork-free, red-meat-free, celery-free, mustard-free, lupine-free, mollusk-free, alcohol-free]",[],['butter'],"[salty, sour, fatty]",2227.1720000000632,fruit,modern,main_course,high,['summer']
Twice Baked Potatoes,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[sugar-conscious, vegetarian, pescatarian, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[balanced],"['butter', 'cheese', 'cream', 'milk', 'salt']","[salty, fatty]",1476.2507875,cream,sibarita,starter,medium,['winter']
Marry Me Chicken,14.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, mediterranean, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free]",[low-carb],"['cheese', 'cream', 'flour', 'garlic', 'oil', 'salt']","[salty, umami, fatty]",1641.9458749985895,snack,modern,main_course,medium,['winter']
Greek Lamb Sliders,14.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]",[],"['cream', 'garlic', 'lemon', 'parsley', 'pepper', 'salt']","[fatty, salty]",2393.392415843605,vegetable,regional,main_course,high,"['spring', 'summer', 'autumn', 'winter']"
Cherry Doughnut Holes,147.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'egg', 'flour', 'leavening', 'salt', 'sugar']","[sweet, salty]",3294.6226175994284,soup,fusion,dessert,low,['autumn']
Oatmeal Chocolate Chip Cookies,77.0,"[red wine, white wine]","[fork, knife]",hot,"[low potassium, kidney-friendly, vegetarian, pescatarian, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[low-sodium],"['butter', 'egg', 'leavening', 'salt', 'sugar', 'vanilla']","[sweet, fatty]",2858.5256666666664,cream,classic,dessert,medium,['winter']
Spinach And Artichoke Stuffed Artichoke Bottoms,21.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, no oil added, sulfite-free]",[low-carb],"['garlic', 'parsley']","[salty, umami, fatty]",2099.307068228125,pasta,fusion,main_course,high,"['spring', 'summer', 'autumn', 'winter']"
Chopped Caesar Salad Pizza,21.0,"[red wine, white wine]","[fork, knife]",hot,"[sugar-conscious, peanut-free, tree-nut-free, soy-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[],"['garlic', 'lemon', 'oil', 'pepper', 'salt', 'sugar', 'water']","[salty, umami, fatty]",5363.48246787147,rice,sibarita,starter,medium,['autumn']
RASPBERRY YOGURT CAKE,14.0,"[red wine, white wine]","[fork, knife]",hot,"[vegetarian, pescatarian, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, kosher]",[high-fiber],"['butter', 'egg', 'flour', 'leavening', 'lemon', 'salt', 'sugar', 'vanilla']","[sweet, fatty]",3848.38918794178,fish,classical,dessert,low,['spring']
BBQ Burger Stuffed Bell Peppers - Freezable,21.0,"[red wine, white wine]","[fork, knife]",hot,"[egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free]",[],"['carrots', 'honey', 'oil', 'onion', 'parsley']","[sweet, salty, sour]",2356.702996398648,meat,sibarita,main_course,medium,['autumn']
Pesto-Salmon Spaghettini,14.0,"[red wine, white wine]","[fork, knife]",hot,"[pescatarian, mediterranean, dash, dairy-free, egg-free, peanut-free, soy-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free]","[balanced, high-fiber]","['garlic', 'lemon', 'oil', 'pepper', 'salt']","[fatty, salty]",3068.9229913,egg,fusion,main_course,high,['summer']
ONE POT BRAZILIAN CHICKEN RICE,14.0,"[red wine, herbal tea]","[fork, knife]",hot,"[mediterranean, dairy-free, gluten-free, wheat-free, egg-free, peanut-free, tree-nut-free, soy-free, fish-free, shellfish-free, pork-free, red-meat-free, crustacean-free, celery-free, mustard-free, sesame-free, lupine-free, mollusk-free, alcohol-free, sulfite-free, kosher]",[balanced],"['garlic', 'oil', 'parsley', 'pepper', 'salt']","[salty, fatty]",3645.47159000838,tapas,sibarita,main_course,medium,['spring']
